exchange,exchangename,scripcode,scripshortname
2,NSEFO,51876,SIEMENS
2,NSEFO,168824,SBICARD
2,NSEFO,168825,SBICARD
2,NSEFO,168826,SBICARD
2,NSEFO,168827,SBICARD
2,NSEFO,168828,SBICARD
2,NSEFO,168829,SBICARD
2,NSEFO,168830,SBICARD
2,NSEFO,168831,SBICARD
2,NSEFO,168832,SBICARD
2,NSEFO,168833,SBICARD
2,NSEFO,168834,SBICARD
2,NSEFO,168835,SBICARD
2,NSEFO,168836,SBICARD
2,NSEFO,168837,SBICARD
2,NSEFO,168838,SBICARD
2,NSEFO,168839,SBICARD
2,NSEFO,168840,SBICARD
2,NSEFO,168841,SBICARD
2,NSEFO,168842,SBICARD
2,NSEFO,168843,SBICARD
2,NSEFO,168844,SBICARD
2,NSEFO,168845,SBICARD
2,NSEFO,168846,SBICARD
2,NSEFO,168847,SBICARD
2,NSEFO,168848,SBICARD
2,NSEFO,168849,SBICARD
2,NSEFO,168850,SBICARD
2,NSEFO,168851,SBICARD
2,NSEFO,168852,SBICARD
2,NSEFO,168853,SBICARD
2,NSEFO,168854,SBICARD
2,NSEFO,168226,RELIANCE
2,NSEFO,168227,RELIANCE
2,NSEFO,168228,RELIANCE
2,NSEFO,168229,RELIANCE
2,NSEFO,168230,RELIANCE
2,NSEFO,168231,RELIANCE
2,NSEFO,168232,RELIANCE
2,NSEFO,168233,RELIANCE
2,NSEFO,168234,RELIANCE
2,NSEFO,168235,RELIANCE
2,NSEFO,168236,RELIANCE
2,NSEFO,168237,RELIANCE
2,NSEFO,168238,RELIANCE
2,NSEFO,168239,RELIANCE
2,NSEFO,168240,RELIANCE
2,NSEFO,168241,RELIANCE
2,NSEFO,168242,RELIANCE
2,NSEFO,168243,RELIANCE
2,NSEFO,168244,RELIANCE
2,NSEFO,168245,RELIANCE
2,NSEFO,168246,RELIANCE
2,NSEFO,168247,RELIANCE
2,NSEFO,168248,RELIANCE
2,NSEFO,168249,RELIANCE
2,NSEFO,168250,RELIANCE
2,NSEFO,168251,RELIANCE
2,NSEFO,168252,RELIANCE
2,NSEFO,168253,RELIANCE
2,NSEFO,168254,RELIANCE
2,NSEFO,168255,RELIANCE
2,NSEFO,168256,RELIANCE
2,NSEFO,57070,NIFTY
2,NSEFO,57073,NIFTY
2,NSEFO,57074,NIFTY
2,NSEFO,57075,NIFTY
2,NSEFO,57076,NIFTY
2,NSEFO,57078,PFC
2,NSEFO,57081,NIFTY
2,NSEFO,57082,NIFTY
2,NSEFO,57083,NIFTY
2,NSEFO,57084,NIFTY
2,NSEFO,57085,NIFTY
2,NSEFO,57086,NIFTY
2,NSEFO,57087,NIFTY
2,NSEFO,57092,AUBANK
2,NSEFO,57093,AUBANK
2,NSEFO,57094,PFC
2,NSEFO,57100,BEL
2,NSEFO,57101,BEL
2,NSEFO,57400,MIDCPNIFTY
2,NSEFO,57401,MIDCPNIFTY
2,NSEFO,57402,MIDCPNIFTY
2,NSEFO,57404,MIDCPNIFTY
2,NSEFO,57405,MIDCPNIFTY
2,NSEFO,57406,MIDCPNIFTY
2,NSEFO,57407,MIDCPNIFTY
2,NSEFO,57408,MIDCPNIFTY
2,NSEFO,57409,MIDCPNIFTY
2,NSEFO,57410,MIDCPNIFTY
2,NSEFO,57411,MIDCPNIFTY
2,NSEFO,57412,MIDCPNIFTY
2,NSEFO,57413,MIDCPNIFTY
2,NSEFO,169537,SHREECEM
2,NSEFO,169538,SHREECEM
2,NSEFO,169539,SHREECEM
2,NSEFO,169540,SHRIRAMFIN
2,NSEFO,169541,SHRIRAMFIN
2,NSEFO,169542,SHRIRAMFIN
2,NSEFO,169543,SHRIRAMFIN
2,NSEFO,169544,SHRIRAMFIN
2,NSEFO,169545,SHRIRAMFIN
2,NSEFO,169546,SHRIRAMFIN
2,NSEFO,169547,SHRIRAMFIN
2,NSEFO,169548,SHRIRAMFIN
2,NSEFO,169549,SHRIRAMFIN
2,NSEFO,169550,SHRIRAMFIN
2,NSEFO,169551,SHRIRAMFIN
2,NSEFO,169552,SHRIRAMFIN
2,NSEFO,52428,NIFTY
2,NSEFO,52429,NIFTY
2,NSEFO,52430,NIFTY
2,NSEFO,52431,NIFTY
2,NSEFO,52432,NIFTY
2,NSEFO,52433,NIFTY
2,NSEFO,52434,MIDCPNIFTY
2,NSEFO,52435,MIDCPNIFTY
2,NSEFO,52436,MIDCPNIFTY
2,NSEFO,52437,MIDCPNIFTY
2,NSEFO,52438,BOSCHLTD
2,NSEFO,52439,BOSCHLTD
2,NSEFO,169571,SHRIRAMFIN
2,NSEFO,169572,SHRIRAMFIN
